CODIGO,NOMBRE,PRECIO,FAMILIA,VENTA,RUT,EXISTENCIA
1,ABONO MERCADERIA SEPARADA,1431,5,2990,88987800-2,0.0
2,CANCELACION VALES MERC RETIRAD,1650,5,2890,88987800-2,0.0
3,CALZONCILLO T/52/54,2675,9,3959,6226100-5,0.0
4,CAJA SLIPS 3PACK,999,9,1479,6226100-5,0.0
5,SABANAS 1 1/2 PL,3000,4,4440,10567671-9,0.0
6,PANTUFLAS 36/38,350,5,990,76060030-K,0.0
7,RED VOLLEY ECCO,8408,5,14990,77462640-9,1.0
8,CALZONCILLO FRAN.44/50,4470,9,6990,79531220-K,1.0
9,CALZONCILLO FRANELA 52/54,4200,9,6480,79531220-K,0.0
10,CAMISETA TERMICA 44/50,3250,9,5670,79531220-K,0.0
11,CAMISETA TERMICA 52/54,3100,3,3990,79531220-K,0.0
12,SHORT ADULTO,1250,5,1850,78621160-3,0.0
13,SHORT JUVENIL,1150,5,1702,78621160-3,0.0
14,BOTAS CONCRETAS DE AGUA,3980,13,5891,77676860-K,0.0
15,BALON BASKET GOMA 5 MOLTEN,5690,5,9990,79587250-7,0.0
16,CAJA PAÑUELO BORDADO DAMA,1150,5,1990,93049000-8,12.0
17,ART 701 ZAP.FUTBOLL INYEC 11.0,10209,5,15109,88383100-4,0.0
18,ART 701 ZAP.FUTBOLL INYEC 11.5,10209,5,15109,88383100-4,0.0
19,ART 701 ZAP.FUTBOLL INYEC 12.0,10209,5,15109,88383100-4,0.0
20,FRAZADA CLASICA IMPOR 1.5PL,4950,4,8660,79536070-0,0.0
21,PANTALON COLEG. 8/10,3690,1,5461,88383100-4,0.0
22,PANTALON COLEG. T/12/,3990,1,5905,88383100-4,0.0
23,PANTALON COLEG. T/ 16/36,4390,1,6497,88383100-4,0.0
24,GUANTE ARQ AD ROYAL 8/11,4116,5,7290,77462640-9,1.0
25,ART 302 ZAPAT.BABY NEG/BLAN 39,6471,6,9577,88383100-4,0.0
26,TROFEO PESCA TR-772,1500,5,2220,77599270-0,0.0
27,ART 302 ZAPAT.BABY NEG/BLAN 41,6471,6,9577,88383100-4,0.0
28,ART 302 ZAPAT.BABY NEG/BLAN 42,6471,6,9577,88383100-4,0.0
29,ART 302 ZAPAT.BABY NEG/BLAN 43,6471,6,9577,88383100-4,0.0
30,BOLAS BCAS Y NEGRAS,2325,5,3441,3634388-5,0.0
31,TRIANGULO PVC,1390,5,2057,3634388-5,0.0
32,CANCHAS MAGNETICAS FUT.BASQ.,8900,5,13172,3634388-5,0.0
33,TALQUERAS METAL,4200,5,6216,3634388-5,0.0
34,CAJA DE POSTONES 4.5,310,5,460,88383100-4,0.0
35,ART 363 ZAPATI. BABY NEGRA 5.0,7137,6,10562,88383100-4,0.0
36,ART 363 ZAPATI. BABY NEGRA 5.5,7137,6,10562,88383100-4,0.0
37,FARZADA CLASICA IMPOR 2 PL,5730,4,9990,79536070-0,0.0
38,SABANA BR. CLASICO 2.5 PL,13840,4,23990,79536070-0,1.0
39,SABANA 144 H ESTAM 2.5,10710,4,18990,79536070-0,0.0
40,130-20PLUMON 2PL,5846,4,8652,79724330-2,0.0
41,10-2FUNDA DE INDIA,1080,4,1598,79724330-2,0.0
43,ART 363 ZAPATI. BABY NEGRA 9.0,7137,6,10562,88383100-4,0.0
44,ART 363 ZAPATI. BABY NEGRA 9.5,7137,6,10562,88383100-4,0.0
45,ART 363 ZAPAT.BABY NEGRA 10.0,7137,6,10562,88383100-4,0.0
46,ART 363 ZAPAT. BABY NEGRA 10.5,7137,6,10562,88383100-4,0.0
47,ART 363 ZAPAT. BABY NEGRA 11.0,7137,6,10562,88383100-4,0.0
48,ART 363 ZAPAT. BABY NEGRA 11.5,7137,6,10562,88383100-4,0.0
